channels: 1 median: -0.00022866629000000002 mean: 3.25720369846e-05 std: 0.00105868920573 modes:-0.0015033125
channels: 2 median: -0.00035039388 mean: 9.0485032815e-05 std: 0.00150199274825 modes: -0.0016850042
channels: 3 median: 3.5737132000000002e-06 mean: 6.61875448714e-05 std: 0.000283719552036 modes:-0.00043534656
channels: 4 median: -3.3626668e-05 mean: 7.48951453244e-05 std: 0.000609793204596 modes: -0.00092551607
channels: 5 median: 2.2989712e-05 mean: 3.20433728972e-05 std: 0.000298750101419 modes: -0.00048760956
channels: 6 median: -1.5452573e-05 mean: 1.70721778035e-05 std: 0.000325537436608 modes: -0.00073927082
channels: 7 median: 4.2854739e-05 mean: 3.68406620436e-05 std: 0.000432183735743 modes: 0.00021751362
channels: 8 median: -1.0235213e-05 mean: 6.38844443168e-05 std: 0.000536898702643 modes: -0.00086961512
channels: 9 median: 6.5923006e-05 mean: 5.34608526068e-05 std: 0.000309080404043 modes: -0.00062982494
channels: 10 median: 1.0077127000000001e-05 mean: 8.88724244439e-06 std: 0.000223619445553 modes: -0.00052391604
channels: 11 median: 3.0494726e-05 mean: 3.14005902441e-05 std: 0.000247233013619 modes: -0.00048518044
channels: 13 median: -5.4736189e-05 mean: 6.87372512437e-06 std: 0.000291688768784 modes: -0.00065756764
channels: 14 median: 9.093709399999999e-05 mean: 3.84565244433e-05 std: 0.000468478249108 modes:-0.00098238932
channels: 15 median: 1.7396747e-05 mean: 2.66206036926e-05 std: 0.000224507015551 modes: -0.00041380135
channels: 16 median: 3.4417284e-05 mean: 5.11760580737e-05 std: 0.000355018620907 modes: -0.0011430468
channels: 17 median: -6.7244036e-05 mean: 9.12841036387e-05 std: 0.000821622570466 modes: -0.0013934681
channels: 18 median: -2.3306298000000002e-05 mean: 2.4187904733e-05 std: 0.000394653634275 modes: -0.00063269667
